Solana Address,Transaction Quantity,Quantity of Coins Held
FqJAhnGQQ3kWbNaqjwtmYLAp7K4tNTNHD3jhiFDkLxVV,1,0
8UgoPZAR8ZLoEmV6pJ8SZ6JKESP2X8nbnrZSdSgNtg1y,1,0
fEe1SXYGDYGY7c7ttEY2Jyffzotx12heiw8xdrctvi1,1,0
CvKXXfxq2YzgQ9V7PBfNCzFmRSrj1VX49tjAJqJy68AU,1,0
45ruCyfdRkWpRNGEqWzjCiXRHkZs8WXCLQ67Pnpye7Hp,1,0
ATowQwFzdJBJ9VFSfoNKmuB8GiSeo8foM5vRriwmKmFB,1,0
3RbFMUKUdMZi5ghreTe8xBWhkZxKACWZnP5rKo78UAZP,1,0.00035
83v8iPyZihDEjDdY8RdZddyZNyUtXngz69Lgo9Kt5d6d,2,0
4Dq7LXDgZhtSVJpm7UU3Fe6GVZfBoKeUKV2kmZmGeouw,2,11781899.83326
7imnGYfCovXjMWKdbQvETFVMe72MQDX4S5zW4GFxMJME,2,0
GkUbkNnMFzPXzu8Rf7qv9MuNAm2n6C3y8E7V8CBzw2Qq,2,69788636.93676
DB3sUCP2H4icbeKmK6yb6nUxU5ogbcRHtGuq7W2RoRwW,2,0
ysq96dVZrrMVRassYB2Vr5cHFWoSQDRzQRGNmRRtr1L,2,2102003202.20503
3rCe4deYs3oPfy6FV9U6rEtomGWBb9je71ajbYZUoVgw,2,230101.05736
5zpyutJu9ee6jFymDGoK7F6S5Kczqtc9FomP3ueKuyA9,2,37850856103.89504
Enc6rB84ZwGxZU8aqAF41dRJxg3yesiJgD7uJFVhMraM,2,0
Df4MaJJYMwEJLqYB2wUZDiuhcpDGCRXimmfcwFVmNwNF,2,278695557.26804
1688uxVZa8CjZUj6jKfmWdKgAdwmdpazwUm9U5woCgE,2,0
8ekCy2jHHUbW2yeNGFWYJT9Hm9FW7SvZcZK66dSZCDiF,2,0
FksffEqnBRixYGR791Qw2MgdU7zNCpHVFYBL4Fa4qVuH,2,0
GkBsEDBvSBywMzBoVa1ug1V3hRYpzEaaeTBtjYRgjEW9,2,2030745897.01423
B2e5QH2GDkRg6hj3y34GCUURBMGskPfX5RAAXe8RBRjS,2,8481428649.3695
DH4xmaWDnTzKXehVaPSNy9tMKJxnYL5Mo5U3oTHFtNYJ,2,0
EXHyQxMSttcvLPwjENnXCPZ8GmLjJYHtNBnAkcFeFKMn,2,0
AvGeFw71N5sNfV97mZ1uNrHg4yfufRicCJUrS9j2ehTX,2,0
FUYyfnVhhRc3PoAyQhWYVGL5oN7BF69R6oSKFjz7jtEh,2,0
b23Ke4utbwr1WcY8onbybJbNQghkNs7RrEC9f69VbJW,3,157697.3645
CapuXNQoDviLvU1PxFiizLgPNQCxrsag1uMeyk6zLVps,4,848.73536
CkPnWjherX5knzgHaWgvTk9GyDFpGDfoxNh5ue3ZTQNG,4,300.81143
Hgnmt4WVNEkDVhu7yQYFKUf9V7DrGdyPCJSuS4pLAG2U,6,367687616.86782
GtpsrTHYnfFVm3qkPJtyKVwQLpXT7p2MRy9bp5hYeJnQ,8,2478121844.34234
AEaxfAQ2Mn4r7S18niKTz7DMUDf8PKFySjwCnpfEjdse,10,682319505.14781
9Lad4sNTTJdrKJ7xdy5PQL75uhRQpyKLbqsRhTTqBBmW,1,0
41b3h69PNTwnhhzVuiyi2AUsTegiSRhvpWrGg7ENaq1q,1,0
8UgoPZAR8ZLoEmV6pJ8SZ6JKESP2X8nbnrZSdSgNtg1y,1,0
HCcBaxdiJ8m72EbLuj1tQUpoXC3au3CYx7NaWqsJ2W7C,1,0
CigCQiUKj65sC1msq8ULt32TA5PebLK99pwqdBqKjL46,1,0
AHDLXejXxAwtKCu7cmBjSUtccSgFEk6iTHxa6NMKATnk,2,0
CbYf9QNrkVgNRCMTDiVdvzMqSzXh8AAgnrKAoTfEACdh,2,0
FJTS7LvcyDLCbFkSUB4P3MumRJrZNPWA3gvts9W9MEWh,2,88.400134255
BdrMFJ9QsyP9ESjXbsntqDK73tCFH5tn3sc2u46QYskU,2,61.276857523
FeLULW5RCKDT2NuThu4vrAQ8BjH5YbU2Y7GbiZXYohm8,2,0
5C1k9yV7y4CjMnKv8eGYDgWND8P89Pdfj79Trk2qmfGo,2,0
